name,address,city,postal,state,phone,websites,owners,primary_email,contacts,other_emails
Frazee Carpet & interiors,3113 Hillsborough rd,Durham,27705,NC,(919) 286-5570,frazeecarpetandinteriors.com,Doug Frazee,,"Doug Frazee,,Doug Frazee",
Yarbrough Interiors,1928 E 70th St,Shreveport,71135,LA,(318) 797-7997,http://www.yarbroughinteriors.com/index.html,Mary Sentell and Family,,"Jennifer Owen,Jennifer Owens,Jennifer Owen",Yarbroughltd@aol.com suzanne.s.brown@tx.rr.com
Flooring America Mill Store,2068 Hamilton Rd,Lagrange,30241,GA,(706) 884-2674,www.flooringamericalagrange.co,Howard Lester,,"Jason,Jason Creel,Jason",jcreel@tms-flooringamerica.com
Permanent Floors Carpet One,5620 Ridge Rd.,Parma,44129,OH,(440) 884-3300,www.permanentcarpetone.com,Ken Kassouf Jr.,,"Ryan Mackey,Ryan Mackey,",
Myers Carpet,641 Division St,Nashville,37203,TN,(615) 777-3344,www.myersrug.com,Ray Myers,,"Donna Bishop,Donna Bishop,Doug Peeples",Donna Bishop
Cappy's Carpet,450 Main St,Port Jefferson,11777,NY,(631) 473-2600,www.cappyscarpets.com,Peter Capobianco,sales@cappscarpets.com,"Peter,Jo Ann,",Jo Ann
Woods Interiors of Distinctions,937 Sugarland Dr,Sheridan,82801,WY,(307) 672-7620,http://www.thewoodsinteriorsflooringamerica.com,Ron Wood,lh-woods@actaccess.net,"Buch Dillon,Butch Dillon,Buch Dillon",bd-woods@actaccess.net
Esprit Decor,107 Kegman Rd West,Chesapeake,23322,VA,(757) 482-5175,N/A,Mark Christian,mark.christian@esprit -decor.com,"Mark Christian,,Mark Christian",
Haley's Flooring,2806 Bob Wallace Ave,Huntsville,35807,AL,(256) 536-8086,www.carpetsystemsofhsv.com,Carter Haley,carter@haleysflooring.com,"Carter Haley,,Carter Haley",
AW Rugs & Carpet,16862 Stagg Street,Van Nuys,91406,CA,(818) 994-9993,AW Rugs,Max Boujal,maxbajoul@gmail.com,"Max Bojual,,Max Bojual",
PacWest Design,170 S. W. Scalehouse Loop,Bend,97702,OR,(541) 389-2089,http://www.pacwesthomes.info/,Kristy Yozamp,dristyy@pacwesthomes.com,"Tim,Tim,Tim",
Brunswick Floors Inc,3550 Darien Hwy,Brunswick,31525,GA,(912) 265-0222,http://www.brunswickfloors.com/,Bobby Blake,,",Francis Wilber,",fwilber@brunswickfloors.com
Abbey of Gig Harbor,6880 Kimball Dr.,Gig Harbor,98335,WA,(253) 851-8326,www.gigharbor.abbeycarpet.com,Len Mallory,,",,",
Henderson Floors Covering,1719 Us Highway 79 South,Henderson,75654,tx,(903) 657-9141,N/A,,,"Lisa,,",
Williamson's Interiors,110 E 3rd St,Grand Island,68801,NE,(308) 382-7327,www.williamsonsinteriors.com,,,"Dave,Dave,Chuck Kohn",ckohn@kdsi.net
Contempo Floor Covering,902 S Barrington Ave,Los Angeles,90049,CA,(310) 826-8063,http://www.contempofloorcoverings.com/,Mark Haloossim,mark@contempofloorcoverings.com,"Mark Haloosim,,David Haloosim",
Leicester Carpet,1229 7th Avenue East,Hendersonville,28792,NC,(828) 254-8937,leicestercarpet.com,Brad Snelson,brad@leicestercarpet.com,"Duane Adams,Tim Reid,",
Carpets by French,1300 Main St,Dunedin,34698,FL,(727) 736-5669,www.carpetsbyfrench.com,John French,john@carpetsbyfrench.com,"John French,Rob Wagner,John French",rob@carpetsbyfrench.com
Mitchell's Floor Designs,Route 13 South,Laurel,19956,DE,(302) 875-2221,www.mitchellsinteriors.com,Roger Feist,,"Jim Ashcraft,Jim Ashcraft,",brenda@mitchellsinteriors.com
Flairmont Furniture,1836 East Main Street,Montrose,81402,CO,(970) 249-4116,www.flairmontfurniturecarpetone.com,Ed DeJulio,,"Ed DeJulio,Mark DeJulio,",flairmont@qwest.net
C & P CARPETS & ENT INC,10014 N. Rodney Parham Rd.,LittleRock,72207,AR,(501) 224-6000,N/A,Dennis Campbell,dkchunterboy@live.com,"Dennis Campbell,Gene Busselle,Dennis Campbell",tbusselle@hotmail.com
Burkholder's Floor Covering Inc,13412 Pennsylvania Ave,Hagerstown,21742,NY,(301) 733-9196,www.burkholdersflooringamerica.com,,,",,",
Floor Fashions of Virginia,2422 Richmond Rd Rt 250,Charlottesville,22901,VA,(434) 296-7744,www.floor-fashions.net,Phillip Ryder,pryder@earthlink.net,"Phillip Ryder,Same,Phillip Ryder",Same
Choice Floor Specialists Inc,2822 North Nebraska Ave.,York,68467,NE,(402) 362-7778,,Terri Heffelfinger,terricfs@windstream.net,"Terri Heffelfinger,Erin Heffelfinger,Terri Heffelfinger",erincfs@windstream.net
America's Carpet Gallery of Pinehurst,585 Hwy 5,Pinehurst,28374,NC,(910) 295-2293,N/A,Ted Rhodes,carpetgallery@pinehurst.net,",,",
Expressway Carpet,1300 Montlimar Dr,Mobile,36609,AL,(251) 666-1900,http://www.expresswaycarpet.com/,Anthony Hammontree,awtree1@bellsouth.net,"Anthony Hammontree,Neil Holifield,",Neil Holifield
Green Mountain Tile Dist. Inc.,1267 Harwood Hill Drive,Bennington,5201,VT,(802) 442-2494,www.benningtontile.com,Andrew Sparta,asparta@benningtontile.com,",Andrew Sparta,",asparta@benningtontile.com
Drenners Carpet Gallery,5615 7th St,Bay City,77414,TX,(979) 245-9103,Drenners.com,"FRANK, PAT DRENNER",Pat@drenners.com,"Pat Drenner,Pat Drenner,",Pat@drenners.com
Nebraska Furniture Mart,700 S 72nd St,Omaha,68114,NE,(402) 397-6100,www.nfm.com,,,"David Snedeker,Gary Cissell,David Snedeker",gary.cissell@nfm.com
Gilman Floors,1113 Fording Island Road,Bluffton,29910,SC,(843) 757-5800,www.gilmanfloors.com/index2.htm,Doug Gilman,doug@gilmanfloors.com,"Doug,,Doug",
Flooring Expo,25141 Lorain Rd,North Olmsted,44070,OH,(440) 777-5500,http://flooringexpoonline.net,Rob Krueger,rob_krueger@roadrunner.com,"Rob Krueger,Rob Krueger,Rob Krueger",rob_krueger@roadrunner.com
Carpet One Floor & Home,5131 SW 29th Street,Topeka,66614,KS,(785) 273-1402,http://www.carpetone.com/,,,"Dale Smith,Dale Smith,Dale Smith",dale.smith@capcarpetinc.com
Busenbark Carpetmax,151 Busenbark Dr,Farmington,63640,MO,(573) 431-4100,www.busenbarkcarpet.com,Gary Busenbark,,"Todd Busenbark,Todd and Chad Busenbark,Todd Busenbark",sales@busenbarkcarpet.com
Go Green Flooring (Carpet Line),5485 Western Ave,Boulder,80301,CO,(303) 440-4429,www.gogreenflooring.com,JERRY & BRENDA STEELE,skisteele@aol.com,"JERRY STEELE,BRENDA STEELE,JERRY STEELE",BRENDA STEELE
Don Booth Co.,245 Salem Warren Rd.,North Jackson,44451,OH,(330) 538-3101,www.donboothco.com,Chuck Booth,cbooth@donboothco.com,"Chuck Booth,Chuck Booth,Chuck Booth",cbooth@donboothco.com
Barnetts Crenshaw Carpet,4611-17 Crenshaw Blvd,Los Angeles,90043,CA,(323) 295-7731,www.crenshawcarpet.com,Bruce Barnett,crenshawcarpet@aol.com,"Bruce Barnett,Beverly Barnett,Bruce Barnett",Beverly Barnett
Glovers Flooring America,3510 Chamblee Dunwoody Rd,Chamblee,30341,GA,(770) 457-2557,www.gloversfloors.net,Tad Provence,judpro@hotmail.com,"Ryan Provence,,",
LaCour`s Carpet World Abbey Carpet & Floor,7421 Tom Dr,Baton Rouge,70806,LA,(225) 927-4130,http://lacoursbr.com/,SAM LACOUR,,"David LaCour,DAVID LACOUR,David LaCour",DAVID LACOUR
Griffin's Floorcrafters,1305 Fifth Avenue,Moline,61265,IL,(309) 762-9423,www.griffinsfloorcrafters.com,Steve Griffin,,"Bruce Griffin,Bruce Griffin,Bruce Griffin",floorcrafter@surfbest.net
BUCHANAN JOHN CARPET CO INC,1636 ROUTE 9G,HYDE PARK,12538,NY,(845) 229-7172,,Dennis Palazzo,ddmp@valstar.net,"Dennis,Dennis Palazzo,",ddmp@valstar.net
FARSH INC,710 JEFFERSON ST,ALEXANDRIA,22314,VA,(703) 548-8884,n/a,Mansour Zamani,farshinc@aol.com,",Mansour Zamani,",
Creative Interiors,1404 Boundary Street,Beaufort,29902,SC,(843) 524-2612,http://www.creativeinteriorsbeaufort.com/,Will Dukes,creative@islc.net,"Will Dukes,Elizabeth Dukes,Will Dukes",edukes@islc.net
C. Markarian & Sons Inc,3807 Deleware Ave,Kenmore,14217,NY,(716) 873-8667,N/A,"mike,jeff,randy markarian",,"mike markarian,,mike markarian",
Carpet Hut,3325 Big Horn Ave.,Cody,82414,WY,(307) 527-7525,N/A,Larry Dye,rickdye@hotmal.com,"Larry Dye,Rick Dye,",rickdye@hotmal.com
Carpet Concepts Inc,4148 Herschel St,Jacksonville,32210,FL,(904) 388-4110,N/A,Mark Stone,CarpetKg@aol.com,"Mark Stone,Frank Stone,Mark Stone",CarpetKg@aol.com
Carpet World of Chesapeake,669 Cedar Road,Chesapeake,23322,VA,(757) 436-1393,carpetworldofva.com,,,"Kevan Jonassen,Kevan Jonassen,Kevan Jonassen",kjonassen@carpetworldofva.com
Abbey Carpet Missoula,407 South Catlin Street,Missoula,59801,MT,(406) 721-1810,missoula.abbeycarpet.com,Curt Bowler,curt@msla-abbeycarpet.com,"Curt Bowler,Gary Mace,Curt Bowler",garym@msla-abbeycarpet.com
Carpet Specialists,2101 Stanley Gault Parkway,Louisville,40223,KY,(502) 245-0221,http://www.carpetspecialistsonline.com/,Harry Lloyd & David Turner,,"Harry Lloyd,John Faulkner,Harry Lloyd",John Faulkner
Kalamian's,963 Bank Street,New London,6320,CT,(860) 442-0615,www.kalamians.com,Lisa Rehg,lisarehg@yahoo.com,"Lou Fiano,Miriam Kalamian,Lou Fiano",Miriam Kalamian
The Flooring Gallery,2208 Plantside Drive,Louisville,40299,KY,(502) 964-3301,www.theflooringgallery-ky.com,Nick Freadreacea,nickF@tfgusa.net,"Nick Freadreacea,,Nick Freadreacea",
Roger's Flooring Ltd,27 W 743 St Charles Rd,West Chicago,60185,IL,(630) 231-8500,www.rogersflooring.com,Roger Wanshek,roger@rogersflooring.com,"Roger Wanshek,Henry Latkowski,Roger Wanshek",Henry@rogersflooring.com
Quality Carpet,214 Ditmas Ave,Brooklyn,11218,NY,(718) 941-4200,www.qualitycarpet.com,Herb Frank,herb@qualitycarpet.com,"Herb Frank,Joseph Frank,",joseph@qualitycarpet.com
Floorscapes Inc,6230 Centre Street SE,Calgary,T2H0C6,AB,(403) 296-0985,www.floorscapes.net,Bryce Osbourne,,",,",
Austin Fine Floors,10321 Burnet Road,Austin,78758,TX,(512) 339-9590,www.austinfinefloors.com,Dale Miller,dmiller@austinfinefloors.com,"Ryan Drouin,Ryan Drouin,Ryan Drouin",rdrouin@austinfinefloors.com
AC Ramirez,824 Cacique St.,Santa Barbara,93103,CA,(805) 965-0095,http://www.acramirez.com/,Alan Ramirez,alan@acramirez.com,",,",
FLOOR DESIGNS INC,25 RHODE ISLAND,SAN FRANCISCO,94103,CA,(415) 626-1005,Floordesign.com,Patrick Aaron,JPA@Floordesign.com,"Patrick Aaron,,Patrick Aaron",
Floor Creations,"1955 Sigman Rd, Suite 108",Conyers,30012,GA,(770) 918-0043,www.afloorcreation.com,Rob Lowder,afloorcreation@bellsouth.net,"Robb,,Robb",
Albrite Carpets Inc,223 Winthrop Ave,Lawrence,1843,MA,(978) 682-7651,www.albritecarpets.com,George Abdinor,abbeyalbrite@verizon.net,"George Abdinor,John Abdinor,George Abdinor",
Botimer & Associates,3 East Main Street,Walla Walla,99662,WA,(509) 525-2597,N/A,Gloria Botimer,,"Poe Perry,Poe Perry,Poe Perry",poeperry@yahoo.com
Carpet Designers,1168 W Fourth St,Winston Salem,27101,NC,(336) 725-8220,www.bobgrubbscarpet.com,Bob Grubbs,rwg35@aol.com,"Bob Grubbs,,Bob Grubbs",
Avalanche Floor Coverings Inc,7715 Colland Dr,Fort Collins,80525,CO,(970) 203-1000,www.Avalanchefloorcoverings.com,Andrea Becvar,andrea@avalanchefloorcoverings.com,"Renee Horne,Joleen Becvar,",joleen@avalanchefloorcoverings.com
JSS Carpets,5801 Lincoln Ave,Buena Park,90620,CA,(714) 828-0742,www.jsscarpetonebuenapark.com,John Smith,,"John Smith,,John Smith",
Miller's Interiors Carpet One,15615 Hwy 99,Lynnwood,98037,WA,(425) 743-3213,www.millersinteriors.com or www.floorbiz.com/Biz/bizProfile.asp?CompanyID=85735,Kevin Miller,ktmiller@millersinteriors.com,",,",
Youngs Interiors,1830 Hwy 9 East,North Myrtle Beach,29597,SC,(843) 399-6524,younginteriorsflooring.com,Alan Thomas,alan@younginteriorsflooring.com,"Alan Thomas,,Alan Thomas",
Custom Tile Works,110 West Naches,Selah,98942,WA,(509) 697-7028,http://www.customtileworks.net/,John Maher,customtileworks@elltel.net,"John Maher,Maher,John Maher",customtileworks@elltel.net
Floor to Ceiling Carpet One,360 36th St. SW,Fargo,58103,ND,(701) 237-6601,http://www.floortoceilingcarpetone.com/,,mroman@ftcc1.com,",,",
Carbone's Carpets,169 Freemans Bridge Rd,Scotia,12302,NY,(518) 372-0332,,John Carbone,,"Pam Anderson,Pam,Pam Anderson",Pam
Hosner Carpet & Interiors,4925 West Tuscarawas St.,Canton,44708,OH,(330) 477-2231,www.carpetone.com/hosner,Terry Hosner,thosner@hcico.org,"Terry Hosner,Mary Hosner Lucius,Terry Hosner",mlucius@hcico.org
LaRocco Floorcovering,1615 Franklin St,Michigan City,46360,IN,(219) 872-0694,http://www.4lfc.com/,John LaRocco,jlarocco@sbcglobal.net,",John LaRocco,",jlarocco@sbcglobal.net
"M Austin Designer Floor, Inc.",4060 A Morena Blvd.,San Diego,92117,CA,(858) 483-3200,www.maustinfloors.com,Ron Alleger,ron@maustinfloors.com,"Tamara,Tamara Bonafede,Tamara",tamara@maustinfloors.com
Joers Floor Center,4119 Grape Rd.,Mishawaka,46545,IN,(574) 277-9711,http://www.joerscarpetonemishawaka.com/,Ron Joers,joersfloor@sbcglobal.net,"Ron Joers,,Ron Joers",
Abbey Carpet of Stockton,3008 E HAMMER LN STE 117,STOCKTON,95212,CA,(209) 956-0188,http://stockton.abbeycarpet.com/Default.aspx,Joe Heskett,retha.a@sbcglobal.net,"Joe Heskett,Joe Heskett,Joe Heskett",
Lake Forest Interior Design,9245 N Government Way,Hayden,83835,ID,(208) 772-5658,,Bob & Jane Legasa,freeridepromo@msn.com,"Bob Legasa,Margaret,Bob Legasa",margaretlakeforest@yahoo.com
Klocker Furniture,765 E Sioux,Pierre,57501,SD,(605) 224-8619,www.klockerfurniture@aol.com,Jerry Klocker,klockerfurniture@aol.com,"Jerry Klocker,Zeb Klocker,Jerry Klocker",zebklocker@aol.com
BLODGETT'S FLOOR COVERING,3291 MT DIABLO COURT,LAFAYETTE,94549,CA,(925) 284-4807,WWW.BLODGETTS.COM,Larry Blodgett,Larryb@blodgetts.com,"Larry Blodgett,Larry Blodgett,Larry Blodgett",Larryb@Blodgetts.com
Williams Carpet Service Inc,1600 Hwy 17 North,North Myrtle Beach,29582,SC,(843) 249-2224,not found,TREVIS WILLIAMS,,"TREVIS WILLIAMS,SANDRA LEE,TREVIS WILLIAMS",SANDRA LEE
Chase Carpets & Tile,6203 N. Capital of Texas Highway,Austin,78731,TX,(512) 360-2222,www.chasecarpets.com,Marc Chase,marc@chasecarpets.com,"Ron Wright,Chris Chase,Ron Wright",chris@chasecarpets.com
The Carpet Mart Carpet One,2500 South M - 139,Benton Harbor,49022,MI,(269) 925-7079,http://www.carpetmartcarpetone.com/,John Kolaskey,carpetmart1@sbcglobal.net,"John Kolaskey,John Kolaskey,John Kolaskey",
Designer Carpets,1010 W Main,Lebanon,37087,TN,(615) 453-3000,www.designercarpets.com,Rex Atkins,,"Rex Atkins,Johnny Bush,Rex Atkins",Johnny Bush
Flooring Solutions,3206 Raasch Drive Suite # 100,Norfolk,68701,NE,(402) 379-5757,www.flooringsolutions.com,Todd Pospisil,flooringsolutions@telebeep.com,"Todd Pospisil,,Todd Pospisil",
Watson Flooring Center,464 Hampshire Drive,Gaffney,29341,SC,(864) 488-9884,N/A,Floyd Watson,hailyeli09@yahoo.com,"Floyd Watson,Floyd Watson,Floyd Watson",hailyeli09@yahoo.com
Carpets By Duane,2095 Chicago Ave,Riverside,92507,CA,(951) 784-2630,www.carpetsbyduane.com,Duane Ritz,,"Saron Ritz,Sharon Ritz,Sharon Ritz",Sharon Ritz
Flooring Max / Main Office,PO Box 2208,Leonardtown,20650,MD,(301) 705-7995,http://www.flooringmaxinc.com/,Pete Griffin & Greg Tennyson,,"Pete Griffin,Greg Tennyson,Greg Tennyson",greg.tennyson@flooringmaxinc.com
Rheinschmidt's Inc.,1201 N Roosevelt,Burlington,52601,IA,(319) 753-1611,not found,Jim Rheinschmidt,jimr@rheinschmidts.net,"Michelle Russell,Michelle Russell,Michelle Russell",micheller@rheinschmidts.net
Deans Carpet & Decorating Center,186 Granite Street,Manchester,3101,VA,(603) 668-0200,http://www.deanscarpetonemanchester.com/,George Katis,,"Eric Sandquist,Dennis DePelteau,Eric Sandquist",
Auburn Carpet One Floor & Home,10068 Streeter Rd Unit 15,Auburn,95602,CA,(530) 268-0502,http://www.auburncarpetoneauburn.com,Jim Holbrook,carpetoneauburn@sbcglobal.net,"Jim Holbrook,Jim Golding,Jim Holbrook",
Abbey Carpet of Puyallup,708 E Main,Puyallup,98372,WA,(253) 445-1122,www.abbeycp.com,Barry Lindgren,barry@abbeycp.com,"Barry Lindgren,,Barry Lindgren",
Simas Floor Covering,3550 Power Inn Road,Sacramento,95826,CA,(916) 452-4933,http://www.simasfloor.com,Mark Simas,mark.simas@simasfloor.com,"Mark Simas,Jan Madison,Mark Simas",
S & J Biren Inc,9563 W Pico Blvd,Los Angeles,90035,CA,(310) 553-0971,http://www.sjbiren.com/,Evan Biren,Evan@sjbiren.com,"Evan Biren,,Evan Biren",Eric@sjbiren.com
Budget Carpet Outlet,684 Main St SW,Gainesville,30501,GA,(770) 287-8463,http://www.budgetcarpetoutlet.com/,Jason Everett,,"Jason,,",
KPM Flooring,"35 Main St, Suite 110",Hilton Head,29926,SC,(843) 342-4955,www.kpmflooring.com,Kathleen Mayers,kathleen@kpmflooring.com,"Kathleen Mayers,Kathleen Mayers,Kathleen Mayers",kathleen@kpmflooring.com
East Texas Carpets,1115 N University Dr,Nacodoches,75961,TX,(936) 564-6742,N/A,,,",LISA THOMPSON,",LISA THOMPSON
Morris Floorcovering,524 N. Roosevelt Dr.,Seaside,97138,OR,(503) 738-8621,www.morrisfloors.com,John Morris,morrisfloors@theoregonshore.com,",,",
Montgomerys Furniture,1312 W Havens Ave,Mitchell,57301,SD,(605) 996-6900,www.montgomeryfurniture.net,Jim Loomer,montgomerys@santel.net,"Todd Loomer,Todd Loomer,Todd Loomer",montgomerys@santel.net
CarpetMaster Carpet One,600 Troy Schenectady Road,Latham,12110,NY,(518) 785-9544,http://www.carpetmastercarpetonelatham.com,Tom Taylor,,",Chris Taylor,",ctaylor@floormail.net
The Added Touch,3849 Park Ave. W.,Mansfield,44903,OH,(419) 468-3146,http://www.addedtouchfurniture.com/,Loretta Compton,,"Lori McClintock,,Lorreta Compton",
Innovative Interiors by Deaton's,1624 South Taylorville Rd.,Decatur,62521,IL,(217) 875-4594,,Mike Deaton,mdeaton1624@comcast.net,"Brian Deaton,Brian Deaton,Brian Deaton",bmdeaton@yahoo.com
Gold River Flooring Gallery,4339 Granite Drive,Rocklin,95677,CA,(916) 415-1056,www.goldriverfloors.com,Jeff & Meridith Kreckleberg,jkreckleberg@goldriverfloors.com,"Gene Andrews,,Gene Andrews",
Heritage Place Gallery of Floors,105 Pleasant Dr,Aliquippa,15001,PA,(724) 378-1925,,dave deluco,elained@hplacefloors.com,"dave de luco,elaine deluco,dave de luco",elaine deluco
Carpet One of Durham,3612 Durham Chapel Hill Blvd,Durham,27707,NC,(919) 493-3437,http://www.carpetonedurham.com/,,,",,",
A & D Carpet and Hardwoods,320 S. Belair Rd.,Martinez,30907,GA,(706) 863-8870,http://aanddcarpets.com/,Angela Key,bcritell@bellsouth.net,"Becky Critell,Becky Critell,Becky Critell",bcritell@bellsouth.net
Baldwin Flooring America,3403 Samson Way,Bellevue,68123,NE,(402) 571-3777,http://www.baldwinsflooringamericaomaha.com/,Don Baldwin Jr.,don@baldwinfa.com,"Don Baldwin Jr.,Don Baldwin Jr.,Don Baldwin Jr.",don@baldwinfa.com
BROONER FLOOR CENTER,1506 E 6TH AVE,STILLWATER,74074,OK,(405) 377-7707,www.broonersfloorcenter.com,Joe Broooner,brooners1506@hotmail.com,"Joe Brooner,Ramona Brooner,Joe Brooner",Ramona Brooner
Grand Design,9636 85th Ave. North,Maple Grove,55369,MN,(763) 424-3736,http://www.gdfloorsmn.com/home.html,Mark Anderson,manderson@gdfloorsmn.com,"Mark Anderson,Kim Hesser,Mark Anderson",khesser@gdfloorsmn.com
Charlestowne Floors,2965 Niagara Falls Blvd,Amherst,14228,NY,(716) 691-6212,N/A,charlie butera,,"leo butera,,leo butera",
Speice & Speice Interiors,PO Box 277,Duncan,73534,OK,(580) 252-0522,N/A,,,"John Speice,,John Speice",
Jaime's Designs & Floors,1402 N. Blackstone Ave.,Fresno,93703,CA,(559) 498-0677,http://www.jaimesdesignsandfloors.com/,Jaime Martinez,jmsfloors@yahoo.com,"Jaime Martinez,Lisa Smith,Jaime Martinez",
Community Floor Covering,868 Lancaster Ave,Devon,19333,PA,(610) 688-1882,N/A,Joesph Tartaglio,,",Pat Tartaglio,",ptartaglio2@verizon.net
Capitol Carpet Co.,14250 Ventura Blvd.,Sherman Oaks,91423,CA,(818) 783-6733,N/A,,,"John Saracyn,,John Saracyn",
ROCKFORD FLOOR COV,41 CORTLAND NE,ROCKFORD,49341,MI,(616) 866-2748,www.rockfordfloorcoveringinc.com,Randy Vanderwerp,jan.strauss@sbcglobal.net,"Randy Vanderwerp,Randy Vanderwerp,Randy Vanderwerp",
Cliffside Floors,645 Anderson Ave,Cliffside Park,7010,NJ,(201) 941-9505,N/A,hamid & hermine amirhamzeh,hermine125@aol.com,"Hermine,lynne nesbihal,",lynne nesbihal
Gary Denney Floor Covering Inc,816 W 6th St,The Dalles,97058,OR,(541) 298-4252,http://www.garydenneyfloorcovering.com/,,,"Wendy Denny,,",
Hatch Furniture,109 E 3rd,Yankton,57078,SD,(605) 665-4416,www.hatchfurniture.com,Ron Hatch,ronhatch@hatchfurniture.com,"Ron Hatch,Jennifer Eickhoff,Ron Hatch",jennifere@hatchfurniture.com
Dorello Carpets,594 Main Ave.,Norwalk,6851,CT,(203) 847-0335,http://www.dorellocarpet.com/,James/Andrew Vecchiariello,dorello@optonline.net,"James/Andrew Vecchiariello,Nick Distillio,James",Nick Distillio
Marina Carpet,2035 E Jericho Turnpike,East Northport,11731,NY,(631) 499-5353,http://eastnorthport.abbeycarpet.com/,Bob DiVito,marinacarpetone@aol.com,"Robert Devito,,",
West Coast Flooring Center,28011 Jefferson Avenue,Temecula,92590,CA,(951) 693-1866,http://www.westcoastflooring.com/,John Cunningham,jcunningham@westcoastflooring.com,",Ken Thompson,",
Floors Etc.,1110 Reisterstown Road,Pikesville,21208,MD,(410) 484-4123,www.floorsetc.com,Stanley Ginsburg,sginsburg@floors-etc.com,"Stanley Ginsburg,,Stanley Ginsburg",
Floorida Floors,1110 Capital Circle NE,Tallahassee,32301,FL,(850) 656-4200,www.flooridafloors.com,Warren Weeks,,",,",
A P T CUSTOM CARPETS LTD,75 WEST BEAVER CREEK RD,RICHMOND HILL,L4B 1K6,ON,(905) 764-1588,http://www.aptcustomcarpets.com/,,,",,",
Mizell Floor Covering,423 Connell Rd,Valdosta,31602,GA,(912) 244-2333,http://www.mizellinteriors.com/,Bart Mizell,btm8167@bellsouth.ne,"Bart Mizell,,Bart Mizell",
Marshfield Flooring,1915 S Roddis,Marshfield,54449,WI,(715) 384-3484,http://www.marshfieldflooring.com/,Jay Schlagenhaft,,"Jay,Hannah,Jay",hannahdieringer@charter.net
Functional Design,2365 Glendale Ave.,Sparks,89431,NV,(775) 359-9898,http://www.functionaldesignsreno.com/,Venture Capital Group,,"Nancy Lilyhorn,Nancy Lilyhorn,Nancy Lilyhorn",nancy@functionaldesigns.com
Butler Floors & Carpet Co,1763 N Main St,Butler,16003,PA,(724) 287-2289,http://www.butlerfloor.com/,dave croft,"cindykay@zoominternet,com","dave croft,dave croft,dave croft",dave croft
Boyles Floor & Window,2920 West Chester Pike,Broomall,19008,PA,(610) 353-0400,http://boylesflooring.com/,Mark Beesman,,",Don Schexnayder,",Don @boylesflooring.com
CORI BROWN ASSOC LLC,29 W. 800 S.,Salt Lake City,84101,UT,(801) 580-2860,N/A,Cori Brown,cori@coribrownassoc.com,"Cori Brown,,Cori Brown",
Wayne's Color Center,1000 N. Bayshore,Coos Bay,97420,OR,(541) 267-2010,http://www.waynescarpetonecoosbay.com/,Kyle Zender,kzender@waynescarpetone.com,"Kyle Zender,,Kyle Zender",
Home Interiors,2719 S. Onieda St.,Green Bay,54304,WI,(920) 497-0497,www.homeinteriors.com,Fred Hoffmen,fredh@homefloors.com,"Fred Hoffman,,Fred Hoffman",
Keck Furniture,104 E. Main,Watertown,214077,WI,(920) 261-7214,http://www.keckfurniture.com/,Tom/Lynn,keckfurniture@mcleodusa.net,"Tom,,Tom",
Contract Carpet Systems,10212 Southard Drive,Beltsville,20705,MD,(301) 937-0030,www.contractcarpetsystems.com,Kurt Zanelotti,kzanelotti@contractcarpetsystems.com,"Dave Callaghan,Dave Callaghan,Dave Callaghan",Dave Callaghan
Highlands Decorating Center,330 Dillard Road,Highlands,28741,NC,(828) 526-3571,http://www.highlandsdecorating.com/,Derek Taylor,hdc@brmemc.net,"Derek Taylor,LeeAnn Hall,Derek Taylor",hdc@brmemc.net
Greater Tennessee Flooring,222 W Baxter Ave,Knoxville,37917,TN,(865) 522-0606,www.greatertennessee.com,Steve Hall,greatertennessee@aol.com,"Steve Hall,,Steve Hall",
Interiors Plus,1021 20th Ave SW Ste 113,Minot,58701,ND,(701) 838-6476,www.interiorsplusnd.com,,,",,",
Shaheen Floor Gallery,4120 Whipple Ave. NW,Canton,44711,OH,(330) 493-9000,http://canton.abbeycarpet.com/,Nicholas Shaheen,rugs1338@aol.com,"Nick Shaheen,,Nick Shaheen",
Hodge Carpets,459 Marion Ave,Spartanburg,29303,SC,(864) 573-9288,www.hodgecarpets.com,Jamie Hodge,jamie@hodgecarpets.com,"Jamie Hodge,Jamie Hodge,Jamie Hodge",jamie@hodgecarpets.com
Madison Carpet,26 Boston Post Rd,Madison,6443,VA,(203) 245-2709,,John Fonda,rm0844@aol.com,"John Fonda,N/A,John Fonda",N/A
Floor Expo and Design,18020 Euclid St,Fountain Valley,92708,CA,(714) 979-1007,http://www.floorexpoonline.com/,,hayan@floorexpoonline.com,"Hayan Tumih,,Hayan Tumih",
INTERIORS BY KRIS,13020 BOOKER T WASHINGTON HWY,HARDY,24101,VA,(540) 721-8354,www.interiorsbykris.com,Kris Willard,kris@interiorsbykris.com,",Joe Russell,",joe@interiorsbykris.com
Downeast Rug Company,659 Warren Avenue,Portland,4103,ME,(207) 772-9680,http://www.downeastrugcompany.com/,Randy Akers,rcakers@sprint.blackberry.net,"Steve Heyanka,Steve Heyanka,Steve Heyanka",
Family Carpet,501 Division St,Parkersburg,26101,WV,(304) 375-7545,http://familyinteriors.com/,rob parrish,family1@wirefire.com,"bob powell,bob powell,bob powell",bob powell
CARPET STUDIO THE,6334 HWY 93 SO,WHITEFISH,59937,MT,(406) 862-2880,http://www.carpetstudioonline.com/,Dawn Platke,cstudio@aboutmontana.net,"Dawn West,Dawn Platke,Dawn West",cstudio@aboutmontana.net
